"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.313189870E-1,-3.331050158E0,6.666000366E0,-6.742950439E0
8.338528310E-1,-3.135000229E0,6.558000088E0,-6.757950306E0
8.363863710E-1,-2.971950054E0,6.316050529E0,-6.750000477E0
8.389201390E-1,-2.557950020E0,6.321000099E0,-6.670950413E0
8.414537230E-1,-2.377950191E0,6.177000523E0,-6.762000084E0
8.439874900E-1,-2.380950212E0,5.971950054E0,-6.898950100E0
8.465211080E-1,-2.512050152E0,5.871000290E0,-6.784050465E0
8.490548750E-1,-2.994000196E0,5.935950279E0,-6.525000095E0
8.515884720E-1,-3.667050123E0,6.361950397E0,-6.420000076E0
8.541222390E-1,-4.206000328E0,6.276000500E0,-5.740050316E0
8.566558570E-1,-4.543050289E0,5.992950439E0,-4.803000450E0
8.591896240E-1,-4.735050201E0,5.755950451E0,-5.661000252E0
8.617231560E-1,-4.620000362E0,5.497050285E0,-6.427050114E0
8.642567690E-1,-4.344000340E0,5.257950306E0,-6.741000175E0
8.667905380E-1,-4.083000183E0,5.089950085E0,-6.808050156E0
8.693241560E-1,-3.540000200E0,4.543950081E0,-6.838950157E0
8.718579000E-1,-3.439050198E0,3.112050056E0,-6.621000290E0
8.743915170E-1,-3.159000158E0,2.973000050E0,-5.686950207E0
8.769252840E-1,-2.557950020E0,3.499950171E0,-4.863000393E0
8.794589020E-1,-2.263050079E0,3.919050217E0,-4.975950241E0
8.819926920E-1,-2.026050091E0,4.209000111E0,-5.128950119E0
8.845263090E-1,-1.774950027E0,4.270950317E0,-5.236950397E0
8.870598480E-1,-1.729050040E0,4.531949997E0,-5.257950306E0
8.895936150E-1,-1.731000066E0,4.911000252E0,-5.236950397E0
8.921272290E-1,-1.741050124E0,5.169000149E0,-5.521950245E0
8.946609960E-1,-1.948950052E0,5.653050423E0,-5.596050262E0
8.971946130E-1,-2.455050230E0,6.058050156E0,-5.565000057E0
8.997283800E-1,-3.147000074E0,6.460050106E0,-5.815950394E0
9.022619830E-1,-3.757950068E0,6.795000553E0,-5.658000469E0
9.047957500E-1,-4.213050365E0,7.018050194E0,-5.481000423E0
9.073293670E-1,-4.584000111E0,7.131000519E0,-5.416050434E0
9.098631350E-1,-4.785000324E0,7.044000149E0,-5.443050385E0
9.123967470E-1,-4.891050339E0,7.423050404E0,-5.617950439E0
9.149302860E-1,-4.926000118E0,7.368000507E0,-5.899950504E0
9.174640530E-1,-5.176050186E0,7.204950333E0,-6.331050396E0
9.199976700E-1,-5.367000103E0,6.987000465E0,-6.415050507E0
9.225314700E-1,-5.176050186E0,6.417000294E0,-6.535050392E0
9.250650880E-1,-4.957950115E0,6.016950130E0,-6.766950130E0
9.275988550E-1,-4.639050007E0,5.851950169E0,-6.657000542E0
9.301323950E-1,-4.228950024E0,5.575950146E0,-6.460950375E0
9.326662350E-1,-3.882000208E0,5.353950024E0,-6.223050117E0
9.351998520E-1,-3.484950066E0,5.751000404E0,-5.842950344E0
9.377333900E-1,-3.171000242E0,6.358950138E0,-5.704050064E0
9.402671580E-1,-3.207000256E0,7.140000343E0,-5.842950344E0
9.428008000E-1,-3.621000290E0,7.888050556E0,-5.883000374E0
9.453345670E-1,-3.873000145E0,8.359050751E0,-5.934000492E0
9.478681850E-1,-4.300950050E0,8.866950035E0,-6.099000454E0
9.504019520E-1,-4.954950333E0,9.379950523E0,-6.027000427E0
9.529355730E-1,-5.463000298E0,1.006005001E1,-5.943000317E0
9.554693410E-1,-5.865000248E0,1.051500034E1,-5.943000317E0
9.580029580E-1,-6.282000065E0,1.034700012E1,-6.013050079E0
9.605364960E-1,-6.616950512E0,9.763050079E0,-5.830950260E0
9.630702400E-1,-6.807000160E0,9.006000519E0,-5.361000061E0
9.656038570E-1,-6.945000172E0,8.266050339E0,-4.963950157E0
9.681376240E-1,-7.065000534E0,7.609950542E0,-4.651950359E0
9.706712420E-1,-7.246950150E0,7.114050388E0,-4.401000023E0
9.732050190E-1,-7.369050503E0,6.715950489E0,-4.294950008E0
9.757386360E-1,-7.465050220E0,6.441000462E0,-4.345950127E0
9.782724040E-1,-7.384050369E0,6.252000332E0,-4.545000076E0
9.808059440E-1,-7.282950401E0,6.103050232E0,-4.846050262E0
9.833398070E-1,-7.077000141E0,6.108000278E0,-5.148000240E0
9.858734250E-1,-6.672000408E0,6.241950512E0,-5.308950424E0
9.884071920E-1,-6.214950085E0,6.369000435E0,-5.347050190E0
9.909407320E-1,-5.803050041E0,6.418950081E0,-5.485950470E0
9.934743270E-1,-5.808000088E0,6.016950130E0,-5.709000111E0
9.960080960E-1,-5.479950428E0,5.947950363E0,-5.907000065E0
9.985417130E-1,-4.438050270E0,4.812000275E0,-6.331050396E0
1.001075481E0,-4.155000210E0,3.418050051E0,-6.472950459E0
1.003609103E0,-4.504950047E0,3.802050114E0,-4.990050316E0
1.006142870E0,-4.309050083E0,4.230000019E0,-4.984950066E0
1.008676488E0,-4.026000023E0,4.663950443E0,-5.593950272E0
1.011210255E0,-3.805950165E0,5.157000065E0,-5.665050507E0
1.013743872E0,-3.456000090E0,5.730000496E0,-5.838000298E0
1.016277411E0,-3.256950140E0,6.496050358E0,-6.132000446E0
1.018811178E0,-3.351000071E0,7.171050549E0,-6.190050125E0
1.021344795E0,-3.331050158E0,7.765050411E0,-6.037050247E0
1.023878577E0,-3.295050144E0,8.053050041E0,-5.851950169E0
1.026412194E0,-3.493950129E0,8.496000290E0,-5.778000355E0
